,orientation,lf_depth,lc_depth,cf_depth,rc_depth,rf_depth,lf_area,lc_area,cf_area,rc_area,rf_area,total_area,avg_depth,temp_K,u_wind,v_wind,out_to_cf_wind,left_to_right_wind,elevation_m
suwon_kt_wiz_park,3.2761557471784255,323.8853725908705,379.83254000349206,395.440356203065,374.277295331859,280.47373466876496,18678.312823774828,22666.588121863333,24506.076378565354,23241.233134912094,19096.360405486845,108185.22297013874,370.4491915032833,286.0514,0.5934352,-0.70421505,-0.4935949325963939,-0.7774626780500166,54.0
incheon_ssg_landers_field,3.261503969626889,312.6202118408977,369.37464336949216,393.868451310503,374.74359917007484,316.3091718081495,18484.13391736106,22809.15975903991,24349.905711369138,22493.202985148702,17771.829715659176,105905.44534389323,366.3482286611844,286.0514,0.5934352,-0.70421505,-0.5049327550509994,-0.7701474444040892,21.0
sajik_baseball_stadium,3.359040975201064,311.3872918162127,372.0355888355241,395.2664215605645,375.83507873774425,312.64793384974143,18287.17585784287,22918.93713027955,24315.60902419562,22598.38380322649,18012.346119136535,106129.59059462456,366.7401443652588,288.08508,0.18321666,-1.3566331,0.11377620064618546,-1.3642128458139091,28.0
cheongju_baseball_stadium,2.5076546783264866,327.08155774799155,361.59648536381843,378.05273439669213,365.6003701604931,323.82669440848827,17639.63261639988,21169.992319349614,22295.417562344624,21306.884614329854,18374.899661762676,100785.23965008765,357.7975219820904,286.0514,0.5934352,-0.70421505,-0.8952536489407514,-0.21588209120677976,70.0
changwon_nc_park,3.9058259863577023,328.56005303677955,364.70738614451886,407.93352761127704,365.6507967452983,332.0031348656852,18568.650947188027,22576.130337642804,26259.05293386616,22853.97817194089,18076.147532242634,108331.59954232165,370.32245859536573,288.08508,0.18321666,-1.3566331,0.8065015340834906,-1.1061541429828585,10.0
hotto_motto_field_kobe,2.9807077541226854,331.2965966111984,383.7680145524024,400.69268672306254,377.4819968022565,320.7528613468382,18937.313362954952,23277.438914752413,25077.603440977262,23855.14153713607,19953.76321889558,111098.6188655881,375.4378753314149,288.2752,0.4809557,-0.628812,-0.5754750868767922,-0.5436463382481652,107.0
rakuten_mobile_park_miyagi,3.0601059338789733,329.9905617280362,377.16674588127825,401.13756364984704,376.03689685491435,326.88165510821034,18708.738974503918,23337.163559524863,25138.741775660365,23124.533426032427,18870.063040123354,109176.8425453341,372.05284701978474,285.80176,1.6617821,-0.12722735,-1.6666238344841766,0.008458179336748028,20.0
yokohama_stadium,0.15593370906467374,285.3295935650849,331.416734698215,342.52794163163503,343.12606312953494,308.30425953961736,16642.188362517638,18828.821948688677,18602.921249697578,17698.33167506904,14675.9873183406,86446.6142641375,331.34853787600247,288.43478,0.8399926,-0.9150347,0.6876937114866526,1.0343855323043545,11.0
zozo_marine_stadium,2.414661286733307,339.20055160275837,368.3674898945687,377.88180999584404,373.9811670329106,282.4647303888494,15112.14944235213,22334.045840657596,22454.775709187554,21927.294754597722,19757.213075826017,101582.88383365341,358.51562763375716,288.43478,1.2378614,-1.5757793,-1.9721825569804572,-0.3547917838119642,4.0
coors_field,6.186786177296466,339.70181295387795,394.49650581471406,417.72953325589685,376.4118208169961,343.5996194156543,20415.688677126946,23843.865626603714,27460.737330364675,26075.60380657758,20256.219685919394,118049.68157070286,386.80395071522196,287.1756,-0.14962485,-0.022247849,-0.14678881872447333,0.03654593301754669,1595.0
great_american_ballpark,4.127153317855138,327.87030013775916,362.1377289012942,388.9108119689621,359.8855272041345,321.67553881905945,17774.41979479502,21217.34099270406,23366.14833913085,21884.281192327675,18001.525439457713,102241.94007338116,360.1739447024884,287.1756,-0.14962485,-0.022247849,0.10119754986258428,0.11243495196983487,161.0
kauffman_stadium,5.444320099529303,330.2956033096009,388.23995128893887,415.4974427069495,389.4558044571588,298.68457285876474,20472.57549246107,24505.07630823688,26784.57882352572,24700.14632972308,20955.808931761123,117414.62395282104,385.97590728089995,287.1756,-0.14962485,-0.022247849,-0.08344555035405554,0.12617211517906038,261.0
target_field,4.715408993724867,345.47461494820215,382.0191392288062,385.8418303644484,341.9920996473404,263.8469325111011,15494.402408360362,19663.216484349454,23498.57185932459,23738.836750192073,19737.053773243944,102129.28741565232,359.3761707821612,284.92993,1.0019871,0.4937904,-0.4907621383899327,-1.0034737820299595,252.0
pnc_park,4.237123272015271,336.4746971747923,393.0761085841517,397.09244503531545,359.8029534263451,258.70683190957243,15562.545964887213,21798.35195658046,24416.043246044843,24407.775640355794,21394.53415606844,107575.84012464265,368.747397021088,287.1756,0.47220573,-0.1683339,-0.06639175528443159,-0.4968970599271996,221.0
citizens_bank_park,6.097972224535735,331.4745708386985,365.0142665830098,402.56603247234375,354.09476795978435,323.1228748901836,17516.02868447333,21526.258250764193,25492.75606726984,22148.196716562165,18266.30428290447,104947.46287564858,364.5596328930468,287.1756,-0.14962485,-0.022247849,-0.14296874670695575,0.04942165504808223,6.0
nationals_park,5.7770068280540405,339.1643934238761,376.04912943970476,407.273971121331,371.99956276673146,330.80231672376044,19703.1058237771,22144.151043085705,24900.11651600125,22797.715038672708,20051.14496065104,109594.17082132814,373.0864898045708,287.1756,-0.14962485,-0.022247849,-0.12007583562793374,0.09200193596279779,2.0
angels_stadium,5.536133205670534,294.0035579124556,392.75739320976334,400.9030259584163,366.2847294795078,341.10951290708175,20541.842866055504,21969.97443165499,24997.971486542516,24004.65392048632,20662.902704625045,112174.42073681076,377.52125701489496,291.4186,-0.38261667,-0.54792404,0.09157882875692708,0.6619891146350669,50.0
dodger_stadium,5.805921260065913,328.158692575061,371.0769679728998,399.26029678424453,372.05418657585165,324.12681772408723,20093.916175927327,22391.532640683185,24680.30842036282,22373.35825457804,20043.30262778773,109580.06204838707,373.13548307597915,291.4186,-0.38261667,-0.54792404,-0.08817189603804337,0.6624514974855645,152.0
busch_stadium,5.206892644906093,327.56734270921226,379.6891317557543,402.8363768287196,387.56825729033227,340.2047249515665,20582.69202393756,24070.785647500794,25439.002972432478,23598.385587472025,19856.17826952912,113543.42848756316,379.6783900240792,287.1756,-0.14962485,-0.022247849,-0.051428526653838263,0.14225916198566876,133.0
truist_park,3.53024743792404,329.705883556407,391.9660271537777,412.0570470139968,389.9350630085994,326.9834971773567,18929.713823151866,24059.303627925397,26588.4436866894,24595.19880733045,20580.820064024007,114750.57927102776,381.3740342805733,291.4186,-0.38261667,-0.54792404,0.5617134438195278,-0.3620694364403278,309.0
yankee_stadium,4.9664599053507885,321.4959913570829,378.88519147116074,409.9161795702694,353.3286305573141,310.8847711806694,17130.246149896364,21287.107486957484,26192.759724280444,24318.223589027675,19389.063145612596,108314.55770367415,370.09919162099845,287.1756,0.47220573,-0.1683339,0.28161706402391873,-0.41473652188418486,4.0
camden_yards,5.676230369691603,371.49779568573354,400.5379188559224,398.0654493880911,362.4325600137605,241.88276799179687,16346.327018567605,22340.48982057319,25124.998192654602,24589.711076492895,23551.32568056335,111949.67207642093,376.23176394641064,287.1756,-0.14962485,-0.022247849,-0.11021066910607749,0.1036154956453908,11.0
guaranteed_rate_field,4.062358003201384,333.11521368562785,369.102593104585,402.098326469624,368.93239986314956,335.5769138777546,18381.299311394334,22523.589798670633,25370.678357701203,22595.864676195426,18677.999400625577,107547.5293741882,369.2483288000595,287.1756,0.47220573,-0.1683339,-0.15177939844600224,-0.4777840176705501,181.0
progressive_field,0.03292375660329494,265.693979074515,356.3946734151527,405.24633421782426,373.2255668591096,318.903882914529,18175.448203081454,22137.030574786244,24292.107808252837,20710.48955732407,17734.000845428447,103045.89740226652,361.4292385566975,287.1756,0.47220573,-0.1683339,0.46640864066763416,0.18378665143206838,199.0
oakland_coliseum,5.301984239973687,332.54322011205903,368.4316394850403,401.14268748147174,364.8504057727483,328.8440611018188,19627.57494258106,21788.969645569403,25078.243444522184,22467.94955938945,20078.505991540427,109039.02902943022,372.0886100983124,290.20636,-0.32657155,-0.2542424,0.029735750231537766,0.4128001458155388,2.0
american_family_field,4.041954160679195,343.8918768225631,367.6849599032606,370.9767142598829,372.6732666208034,337.5070044263027,18633.563328247976,21729.86895977106,21859.967036251284,21592.323769758365,20321.47382738543,104135.85399451765,363.93160171845966,285.2839,0.892677,-0.12299916,-0.4582679131756807,-0.7758811374452356,211.0
oracle_park,4.803926456938472,343.5247828987115,372.9662915424194,394.66667477687594,378.8462653926598,241.07698108020733,16469.041548529764,24366.551934678933,24655.036441078006,23237.697719176613,20094.87140836133,108819.8444980587,370.89780916834167,290.20636,-0.32657155,-0.2542424,0.2233261748634216,0.34844453625797456,3.0
citi_field,6.043625204657703,335.60357917227765,366.7663180833159,410.95741387994303,371.5691347942219,328.83090094573583,19413.005921006068,22549.127115123603,25985.916716954463,22152.177722596498,19569.82659443335,109667.80606239226,373.00649117738254,287.1756,0.47220573,-0.1683339,0.4986621682351148,0.051483932494488044,5.0
petco_park,6.263841111063278,333.4128952011358,373.96571914362465,398.6182734817694,378.00652347389274,319.44256380057624,19119.546052257203,23869.107816053438,25052.435191600765,23285.058236283556,18806.06861730405,110129.6917167063,373.64841832323714,291.4186,-0.38261667,-0.54792404,-0.3719465959816275,0.5552224774894209,4.0
